(136, 152, 0)
(134, 150, 0)
(136, 151, 0)
(181, 164, 0)
(136, 151, 0)
(179, 162, 0)
(136, 151, 0)
(188, 169, 0)
(226, 189, 0)
(136, 151, 0)
(189, 171, 0)
(223, 187, 0)
(136, 151, 0)
(191, 171, 0)
(136, 151, 0)
(191, 172, 0)
(136, 151, 0)
(193, 174, 0)
(136, 151, 0)
(194, 178, 0)
(136, 151, 0)
(196, 181, 0)
(136, 151, 0)
(197, 186, 0)
(136, 151, 0)
(199, 190, 0)
(136, 151, 0)
(200, 191, 0)
(136, 151, 0)
(204, 193, 0)
(136, 151, 0)
(206, 195, 0)
(136, 151, 0)
(209, 197, 0)
(136, 151, 0)
(212, 199, 0)
(136, 149, 0)
(214, 199, 0)
(136, 149, 0)
(217, 200, 0)
(137, 149, 0)
(219, 204, 0)
(137, 148, 0)
(221, 209, 0)
(135, 148, 0)
(223, 213, 0)
(135, 148, 0)
(225, 219, 0)
(135, 148, 0)
(225, 221, 0)
(135, 148, 0)
(229, 222, 0)
(135, 148, 0)
(231, 222, 0)
(135, 148, 0)
(233, 223, 0)
(135, 148, 0)
(236, 222, 0)
(135, 148, 0)
(238, 223, 0)
(134, 148, 0)
(241, 223, 0)
(136, 148, 0)
(243, 224, 0)
(136, 149, 0)
(245, 227, 0)
(136, 149, 0)
(247, 233, 0)
(136, 149, 0)
(249, 237, 0)
(136, 149, 2)
(251, 241, 77)
(136, 149, 2)
(253, 249, 77)
(134, 149, 2)
(253, 252, 77)
(134, 149, 2)
(255, 256, 77)
(134, 149, 2)
(257, 255, 77)
(134, 149, 2)
(261, 255, 77)
(134, 149, 2)
(261, 254, 77)
(134, 149, 2)
(267, 255, 77)
(134, 150, 2)
(273, 256, 77)
(134, 150, 2)
(277, 259, 77)
(134, 150, 2)
(282, 265, 77)
(134, 150, 2)
(282, 269, 77)
(134, 150, 2)
(287, 277, 84)
(133, 151, 2)
(290, 280, 84)
(133, 151, 2)
(133, 151, 2)
(135, 151, 2)
(135, 151, 2)
(133, 151, 2)
(133, 151, 2)
(133, 151, 2)
(133, 151, 2)
(133, 151, 2)
(133, 151, 2)
(135, 151, 2)
(135, 151, 2)
(135, 151, 2)
(135, 149, 2)
(135, 149, 2)
(135, 149, 2)
(135, 148, 2)
(135, 147, 2)
(135, 146, 2)
(135, 145, 2)
(135, 145, 2)
(135, 144, 2)
(135, 143, 7)
(135, 142, 7)
(135, 141, 7)
(135, 140, 7)
(133, 139, 7)
(133, 138, 7)
(133, 137, 7)
(132, 134, 7)
(132, 133, 7)
(134, 134, 7)
(134, 133, 7)
(135, 132, 7)
(133, 131, 20)
(133, 128, 20)
(133, 126, 20)
(135, 125, 20)
(133, 123, 20)
(133, 121, 20)
(133, 120, 20)
(133, 119, 20)
(132, 117, 20)
(132, 116, 20)
(131, 115, 20)
(130, 114, 20)
(130, 113, 30)
(130, 112, 30)
(129, 111, 30)
(129, 112, 30)
(129, 111, 30)
(129, 110, 30)
(128, 110, 30)
(127, 109, 30)
(127, 108, 30)
(127, 107, 30)
(126, 106, 30)
(125, 105, 30)
(124, 104, 28)
(124, 103, 28)
(123, 102, 28)
(123, 101, 28)
(122, 101, 28)
(122, 100, 28)
(122, 100, 28)
(121, 99, 28)
(120, 99, 28)
(120, 98, 28)
(278, 281, 0)
(119, 97, 28)
(275, 278, 0)
(118, 97, 28)
(276, 279, 0)
(118, 97, 20)
(272, 275, 0)
(117, 97, 20)
(271, 269, 0)
(116, 96, 20)
(267, 265, 0)
(115, 96, 20)
(255, 257, 0)
(115, 96, 20)
(254, 254, 0)
(114, 96, 20)
(257, 254, 0)
(113, 96, 20)
(260, 252, 0)
(113, 96, 20)
(260, 252, 0)
(112, 96, 20)
